       Blade Instructor        |        {2}{W}        |  3.0  |         Creature - Human Soldier         |   Common   | 
         Bounty Agent          |        {1}{W}        |  2.0  |         Creature - Human Soldier         |    Rare    | 
      Candlelight Vigil        |        {3}{W}        |  4.0  |            Enchantment - Aura            |   Common   | 
        Citywide Bust          |      {1}{W}{W}       |  3.0  |                 Sorcery                  |    Rare    | 
      Collar the Culprit       |        {3}{W}        |  4.0  |                 Instant                  |   Common   | 
      Conclave Tribunal        |        {3}{W}        |  4.0  |               Enchantment                |  Uncommon  | 
       Crush Contraband        |        {3}{W}        |  4.0  |                 Instant                  |  Uncommon  | 
         Dawn of Hope          |        {1}{W}        |  2.0  |               Enchantment                |    Rare    | 
           Demotion            |         {W}          |  1.0  |            Enchantment - Aura            |  Uncommon  | 
      Divine Visitation        |      {3}{W}{W}       |  5.0  |               Enchantment                |   Mythic   | 
     Flight of Equenauts       |        {7}{W}        |  8.0  |         Creature - Human Knight          |  Uncommon  | 
       Gird for Battle         |         {W}          |  1.0  |                 Sorcery                  |  Uncommon  | 
        Haazda Marshal         |         {W}          |  1.0  |         Creature - Human Soldier         |  Uncommon  | 
        Healer's Hawk          |         {W}          |  1.0  |             Creature - Bird              |   Common   | 
        Hunted Witness         |         {W}          |  1.0  |             Creature - Human             |   Common   | 
      Inspiring Unicorn        |      {2}{W}{W}       |  4.0  |            Creature - Unicorn            |  Uncommon  | 
     Intrusive Packbeast       |        {4}{W}        |  5.0  |             Creature - Beast             |   Common   | 
        Ledev Guardian         |        {3}{W}        |  4.0  |         Creature - Human Knight          |   Common   | 
     Light of the Legion       |      {4}{W}{W}       |  6.0  |             Creature - Angel             |    Rare    | 
       Loxodon Restorer        |      {4}{W}{W}       |  6.0  |        Creature - Elephant Cleric        |   Common   | 
        Luminous Bonds         |        {2}{W}        |  3.0  |            Enchantment - Aura            |   Common   | 
       Parhelion Patrol        |        {3}{W}        |  4.0  |         Creature - Human Knight          |   Common   | 
        Righteous Blow         |         {W}          |  1.0  |                 Instant                  |   Common   | 
