Angel of Grace                 | {3}{W}{W}            | 5.0   | Creature - Angel                         | Mythic     | 
Angelic Exaltation             | {3}{W}               | 4.0   | Enchantment                              | Uncommon   | 
Archway Angel                  | {5}{W}               | 6.0   | Creature - Angel                         | Uncommon   | 
Arrester's Zeal                | {W}                  | 1.0   | Instant                                  | Common     | 
Bring to Trial                 | {2}{W}               | 3.0   | Sorcery                                  | Common     | 
Civic Stalwart                 | {3}{W}               | 4.0   | Creature - Elephant Soldier              | Common     | 
Concordia Pegasus              | {1}{W}               | 2.0   | Creature - Pegasus                       | Common     | 
Expose to Daylight             | {2}{W}               | 3.0   | Instant                                  | Common     | 
Forbidding Spirit              | {1}{W}{W}            | 3.0   | Creature - Spirit Cleric                 | Uncommon   | 
Haazda Officer                 | {2}{W}               | 3.0   | Creature - Human Soldier                 | Common     | 
Hero of Precinct One           | {1}{W}               | 2.0   | Creature - Human Warrior                 | Rare       | 
Impassioned Orator             | {1}{W}               | 2.0   | Creature - Human Cleric                  | Common     | 
Justiciar's Portal             | {1}{W}               | 2.0   | Instant                                  | Common     | 
Knight of Sorrows              | {4}{W}               | 5.0   | Creature - Human Knight                  | Common     | 
Lumbering Battlement           | {4}{W}               | 5.0   | Creature - Beast                         | Rare       | 
Ministrant of Obligation       | {2}{W}               | 3.0   | Creature - Human Cleric                  | Uncommon   | 
Prowling Caracal               | {1}{W}               | 2.0   | Creature - Cat                           | Common     | 
Rally to Battle                | {3}{W}               | 4.0   | Instant                                  | Uncommon   | 
Resolute Watchdog              | {W}                  | 1.0   | Creature - Hound                         | Uncommon   | 
Sentinel's Mark                | {1}{W}               | 2.0   | Enchantment - Aura                       | Uncommon   | 
Sky Tether                     | {W}                  | 1.0   | Enchantment - Aura                       | Uncommon   | 
Smothering Tithe               | {3}{W}               | 4.0   | Enchantment                              | Rare       | 
Spirit of the Spires           | {3}{W}               | 4.0   | Creature - Spirit                        | Uncommon   | 
Summary Judgment               | {1}{W}               | 2.0   | Instant                                  | Common     | 
Syndicate Messenger            | {3}{W}               | 4.0   | Creature - Bird                          | Common     | 
Tenth District Veteran         | {2}{W}               | 3.0   | Creature - Human Soldier                 | Common     | 
Tithe Taker                    | {1}{W}               | 2.0   | Creature - Human Soldier                 | Rare       | 
Twilight Panther               | {W}                  | 1.0   | Creature - Cat Spirit                    | Common     | 
Unbreakable Formation          | {2}{W}               | 3.0   | Instant                                  | Rare       | 
Watchful Giant                 | {5}{W}               | 6.0   | Creature - Giant Soldier                 | Common     | 
Arrester's Admonition          | {2}{U}               | 3.0   | Instant                                  | Common     | 
Benthic Biomancer              | {U}                  | 1.0   | Creature - Merfolk Wizard Mutant         | Rare       | 
Chillbringer                   | {4}{U}               | 5.0   | Creature - Elemental                     | Common     | 
Clear the Mind                 | {2}{U}               | 3.0   | Sorcery                                  | Common     | 
Code of Constraint             | {2}{U}               | 3.0   | Instant                                  | Uncommon   | 
Coral Commando                 | {2}{U}               | 3.0   | Creature - Merfolk Warrior               | Common     | 
Essence Capture                | {U}{U}               | 2.0   | Instant                                  | Uncommon   | 
Eyes Everywhere                | {2}{U}               | 3.0   | Enchantment                              | Uncommon   | 
Faerie Duelist                 | {1}{U}               | 2.0   | Creature - Faerie Rogue                  | Common     | 
Gateway Sneak                  | {2}{U}               | 3.0   | Creature - Vedalken Rogue                | Uncommon   | 
Humongulus                     | {4}{U}               | 5.0   | Creature - Homunculus                    | Common     | 
Mass Manipulation              | {X}{X}{U}{U}{U}{U}   | 4.0   | Sorcery                                  | Rare       | 
Mesmerizing Benthid            | {3}{U}{U}            | 5.0   | Creature - Octopus                       | Mythic     | 
Persistent Petitioners         | {1}{U}               | 2.0   | Creature - Human Advisor                 | Common     | 
Precognitive Perception        | {3}{U}{U}            | 5.0   | Instant                                  | Rare       | 
Prying Eyes                    | {4}{U}{U}            | 6.0   | Instant                                  | Common     | 
Pteramander                    | {U}                  | 1.0   | Creature - Salamander Drake              | Uncommon   | 
Quench                         | {1}{U}               | 2.0   | Instant                                  | Common     | 
Sage's Row Savant              | {1}{U}               | 2.0   | Creature - Vedalken Wizard               | Common     | 
Senate Courier                 | {2}{U}               | 3.0   | Creature - Bird                          | Common     | 
Shimmer of Possibility         | {1}{U}               | 2.0   | Sorcery                                  | Common     | 
Skatewing Spy                  | {3}{U}               | 4.0   | Creature - Vedalken Rogue Mutant         | Uncommon   | 
Skitter Eel                    | {3}{U}               | 4.0   | Creature - Fish Crab                     | Common     | 
Slimebind                      | {1}{U}               | 2.0   | Enchantment - Aura                       | Common     | 
Sphinx of Foresight            | {2}{U}{U}            | 4.0   | Creature - Sphinx                        | Rare       | 
Swirling Torrent               | {5}{U}               | 6.0   | Sorcery                                  | Uncommon   | 
Thought Collapse               | {1}{U}{U}            | 3.0   | Instant                                  | Common     | 
Verity Circle                  | {2}{U}               | 3.0   | Enchantment                              | Rare       | 
Wall of Lost Thoughts          | {1}{U}               | 2.0   | Creature - Wall                          | Uncommon   | 
Windstorm Drake                | {4}{U}               | 5.0   | Creature - Drake                         | Uncommon   | 
Awaken the Erstwhile           | {3}{B}{B}            | 5.0   | Sorcery                                  | Rare       | 
Bankrupt in Blood              | {1}{B}               | 2.0   | Sorcery                                  | Uncommon   | 
Blade Juggler                  | {4}{B}               | 5.0   | Creature - Human Rogue                   | Common     | 
Bladebrand                     | {1}{B}               | 2.0   | Instant                                  | Common     | 
Bloodmist Infiltrator          | {2}{B}               | 3.0   | Creature - Vampire                       | Uncommon   | 
Carrion Imp                    | {3}{B}               | 4.0   | Creature - Imp                           | Common     | 
Catacomb Crocodile             | {4}{B}               | 5.0   | Creature - Crocodile                     | Common     | 
Clear the Stage                | {4}{B}               | 5.0   | Instant                                  | Uncommon   | 
Consign to the Pit             | {5}{B}               | 6.0   | Sorcery                                  | Common     | 
Cry of the Carnarium           | {1}{B}{B}            | 3.0   | Sorcery                                  | Uncommon   | 
Dead Revels                    | {3}{B}               | 4.0   | Sorcery                                  | Common     | 
Debtors' Transport             | {5}{B}               | 6.0   | Creature - Thrull                        | Common     | 
Drill Bit                      | {2}{B}               | 3.0   | Sorcery                                  | Uncommon   | 
Font of Agonies                | {B}                  | 1.0   | Enchantment                              | Rare       | 
Grotesque Demise               | {2}{B}               | 3.0   | Instant                                  | Common     | 
Gutterbones                    | {B}                  | 1.0   | Creature - Skeleton Warrior              | Rare       | 
Ill-Gotten Inheritance         | {3}{B}               | 4.0   | Enchantment                              | Common     | 
Noxious Groodion               | {2}{B}               | 3.0   | Creature - Beast                         | Common     | 
Orzhov Enforcer                | {1}{B}               | 2.0   | Creature - Human Rogue                   | Uncommon   | 
Orzhov Racketeers              | {4}{B}               | 5.0   | Creature - Human Rogue                   | Uncommon   | 
Pestilent Spirit               | {2}{B}               | 3.0   | Creature - Spirit                        | Rare       | 
Plague Wight                   | {1}{B}               | 2.0   | Creature - Zombie                        | Common     | 
Priest of Forgotten Gods       | {1}{B}               | 2.0   | Creature - Human Cleric                  | Rare       | 
Rakdos Trumpeter               | {1}{B}               | 2.0   | Creature - Human Shaman                  | Common     | 
Spawn of Mayhem                | {2}{B}{B}            | 4.0   | Creature - Demon                         | Mythic     | 
Spire Mangler                  | {2}{B}               | 3.0   | Creature - Insect                        | Uncommon   | 
Thirsting Shade                | {B}                  | 1.0   | Creature - Shade                         | Common     | 
Undercity Scavenger            | {3}{B}               | 4.0   | Creature - Ogre Warrior                  | Common     | 
Undercity's Embrace            | {2}{B}               | 3.0   | Instant                                  | Common     | 
Vindictive Vampire             | {3}{B}               | 4.0   | Creature - Vampire                       | Uncommon   | 
Act of Treason                 | {2}{R}               | 3.0   | Sorcery                                  | Common     | 
Amplifire                      | {2}{R}{R}            | 4.0   | Creature - Elemental                     | Rare       | 
Burn Bright                    | {2}{R}               | 3.0   | Instant                                  | Common     | 
Burning-Tree Vandal            | {2}{R}               | 3.0   | Creature - Human Rogue                   | Common     | 
Cavalcade of Calamity          | {1}{R}               | 2.0   | Enchantment                              | Uncommon   | 
Clamor Shaman                  | {2}{R}               | 3.0   | Creature - Goblin Shaman                 | Uncommon   | 
Dagger Caster                  | {3}{R}               | 4.0   | Creature - Viashino Rogue                | Uncommon   | 
Deface                         | {R}                  | 1.0   | Sorcery                                  | Common     | 
Electrodominance               | {X}{R}{R}            | 2.0   | Instant                                  | Rare       | 
Feral Maaka                    | {1}{R}               | 2.0   | Creature - Cat                           | Common     | 
Flames of the Raze-Boar        | {5}{R}               | 6.0   | Instant                                  | Uncommon   | 
Gates Ablaze                   | {2}{R}               | 3.0   | Sorcery                                  | Uncommon   | 
Ghor-Clan Wrecker              | {3}{R}               | 4.0   | Creature - Human Warrior                 | Common     | 
Goblin Gathering               | {2}{R}               | 3.0   | Sorcery                                  | Common     | 
Gravel-Hide Goblin             | {1}{R}               | 2.0   | Creature - Goblin Shaman                 | Common     | 
Immolation Shaman              | {1}{R}               | 2.0   | Creature - Viashino Shaman               | Rare       | 
Light Up the Stage             | {2}{R}               | 3.0   | Sorcery                                  | Uncommon   | 
Mirror March                   | {5}{R}               | 6.0   | Enchantment                              | Rare       | 
Rix Maadi Reveler              | {1}{R}               | 2.0   | Creature - Human Shaman                  | Rare       | 
Rubble Reading                 | {3}{R}               | 4.0   | Sorcery                                  | Common     | 
Rubblebelt Recluse             | {4}{R}               | 5.0   | Creature - Ogre Berserker                | Common     | 
Rumbling Ruin                  | {5}{R}               | 6.0   | Creature - Elemental                     | Uncommon   | 
Scorchmark                     | {1}{R}               | 2.0   | Instant                                  | Common     | 
Skarrgan Hellkite              | {3}{R}{R}            | 5.0   | Creature - Dragon                        | Mythic     | 
Skewer the Critics             | {2}{R}               | 3.0   | Sorcery                                  | Common     | 
Smelt-Ward Ignus               | {1}{R}               | 2.0   | Creature - Elemental                     | Uncommon   | 
